Wallet,vGHST,vGHST VLT,Gotchis,Gotchis VLT,Total VLT
0x10dF55eE5D2977F952f3f264b9e8218D699b36b1,2124.176606,2.743788778,3,3.595908741,6.339697519
0x294C3c4F59b7A422230e59700BC0ae11020Aa1c8,4830.200786,6.239147288,0,0,6.239147288
0x89A1145FCCAC1a2a9350eC1A4A486E4458D26274,140.8537372,0.1819401,5,5.993181236,6.175121335
0x3CF4E2F525C3e755c4aae97846379Ef703252288,4776.696524,6.170036088,0,0,6.170036088
0x6b6f5e6a8167d72ac8951aC89E9d490A63912945,95.78203652,0.123721199,5,5.993181236,6.116902435
0xE2C67350D0A0768De07E556073BeeEc0AE86a684,4710.67901,6.084761581,0,0,6.084761581
0x9993AB06c1eDC0FdeA706b1F6F6359c0c1EC5E5b,7.84796E-05,1.01372E-07,5,5.993181236,5.993181337
0x75bbECBC4fA323d304E41Dd383f1F1878288DB00,7.03398E-05,9.08575E-08,5,5.993181236,5.993181326
0x5e16073080f5886f9C79FF5f0462ec938eAaFFa9,6.06824E-05,7.83831E-08,5,5.993181236,5.993181314
0x0b81747F504dFC906A215e301d8b8aD82E44CBd2,0,0,5,5.993181236,5.993181236
0x2e48Ec0Bb013e7FDbF319E1A2795035204954B0f,0,0,5,5.993181236,5.993181236
0xa5Fa57608C5698120A7C3c9d50EC346bb3980223,0,0,5,5.993181236,5.993181236
0xd32f222283D295f93664B11faAC967e6826b635f,0,0,5,5.993181236,5.993181236
0x32f9A1E1125E61bD2756528e7316303f532E4d7F,0,0,5,5.993181236,5.993181236
0x6CD71d6Cb7824add7c277F2CA99635D98F8b9248,0,0,5,5.993181236,5.993181236
0x93FC1F35f53a9553534979233caF273214C51Fd7,0,0,5,5.993181236,5.993181236
0x1b2E6C79A0b9a1f19234D45D9A8DB9EE57Bc0b14,0,0,5,5.993181236,5.993181236
0x7bf4d5E579a26dd09F1ddDB2391566e7BA575B5B,0,0,5,5.993181236,5.993181236
0xdE6b1d60b5c5c0C8a41C8c3241C56E8754D5Ca65,0,0,5,5.993181236,5.993181236
0xA8992310f620dc8f23F9Cf4faD90A2F2380D8d6a,0,0,5,5.993181236,5.993181236
0xf31B40DbcBa528f2cD6Ea9D65058BE320175D259,0,0,5,5.993181236,5.993181236
0x4E8ffddB1403CF5306C6c7B31dC72EF5f44BC4F5,3677.771028,4.750559274,1,1.198636247,5.949195521
0x29E9315DdBb5c44717D64bD6c0550a692819413d,1678.677504,2.168339715,3,3.595908741,5.764248457
0x13f8b0f7bc87921dBA099c635bDe74b26B9674FC,2593.465806,3.349967397,2,2.397272494,5.747239891
0x7A8B10716E2e473a541E9E990e711651425E5413,2572.810486,3.323287018,2,2.397272494,5.720559513
0xa919538CeAb5c64608945865835dbC10540feB1D,4421.365532,5.711056743,0,0,5.711056743
0x575C13C07b054438a513f4968605c021856f63F8,2470.363149,3.190956282,2,2.397272494,5.588228777
0xb4D502361a3c6f823EEb9A99Af09E110382206ee,585.2254026,0.755932858,4,4.794544988,5.550477846
0x6Ca0D65fe5c8700a5cc7A2C3bfE801111A1dEd1a,2434.573526,3.144726997,2,2.397272494,5.541999491
0x25612e8bd7683De22dA45D717D0493B0e96424b4,3326.157467,4.296381716,1,1.198636247,5.495017963
0xBf3FA037a65A6816623BB7fbf836E3540cd857AA,4187.157905,5.408531869,0,0,5.408531869
0x3FA9db8d720679E8e5213f6C5D88faB766058e20,1403.244537,1.812564267,3,3.595908741,5.408473009
0xCc58AccACd0db8010e4c8A20BA49D2DC9d4D7f59,4097.070135,5.292165928,0,0,5.292165928
0x13E965baAFDa80C7501c23cbED282d5e53e3066B,1311.504027,1.694063489,3,3.595908741,5.28997223
0xb26B4A4BBA425aC28224cFDd45B4Bd00C886cC33,3150.68796,4.069728592,1,1.198636247,5.268364839
0x288d3b021202293788d76F76947C74a65450374C,1291.661168,1.668432563,3,3.595908741,5.264341304
0x1B3c00A967aA935100342eCdf38198E21De1a1CF,3145.763501,4.063367691,1,1.198636247,5.262003938
0xA0cD89ebDD3c422925696Bb1baefb6c3eD21D8F1,4073.51511,5.261740014,0,0,5.261740014
0xa7687975c0Af79F9D821cd27fc01722a2eC0d8c3,4039.058446,5.217232506,0,0,5.217232506
0x262336fd3Eda533826Aa4c92C9f23563f9F90693,299.0746829,0.38631334,4,4.794544988,5.180858328
0x94046B4000fefc937F9AE219E2d92bf44A36393E,290.0872145,0.37470427,4,4.794544988,5.169249258
0x8EA8721F27eFcAaBB3901Ed6756505Ab873F15a7,3992.653571,5.157291551,0,0,5.157291551
0x41Ade9A5803B4676917411Dbb439D357965dBf46,2127.733397,2.748383068,2,2.397272494,5.145655562
0xB9301C0001065de513aA0cf1bAea9efB58A2E775,168.0660181,0.217090073,4,4.794544988,5.011635061
0x8261f170d2d081E33ec95C23A0E05435b932b9Fc,2021.954003,2.61174833,2,2.397272494,5.009020824
0xf041e368e33d7f28dec1918D52D691C383f42e2d,2014.777498,2.602478472,2,2.397272494,4.999750966
0x8886DcA35291F05Ed5d8e21F083998EA8dcEB50f,155.5125438,0.20087481,4,4.794544988,4.995419799
0xdc25324B8186DE47A976191a54ea0366428Af632,3845.073243,4.966662746,0,0,4.966662746
0xacEB122F86EB1AaBdfc9f9149c9011dF537f83Ca,99.77261362,0.128875809,4,4.794544988,4.923420797
0xCD05a3969c5158D658a9bDF3Ee6eBcC0712a0292,1955.143827,2.525449944,2,2.397272494,4.922722438
0x7bB85b553c04cF2dFCBbDac998eA3621e17236c3,995.9396796,1.286450528,3,3.595908741,4.882359269
